Key,Act,Zone,Category,Encounter,Enemies,Multi,Emoji,Composition,AltImage
fuzzy-wurm-crawler,1,Overgrowth,easy,Fuzzy Wurm Crawler,fuzzy-wurm-crawler,,🐛,,
nibbit,1,Overgrowth,easy,Nibbit,nibbit,,🐀,,
shrinker-beetle,1,Overgrowth,easy,Shrinker Beetle,shrinker-beetle,,🪲,,
slimes-easy,1,Overgrowth,easy,Slimes (easy),leaf-slime-small;twig-slime-medium;leaf-slime-medium;twig-slime-small,3 enemies,🟢,1 Small Twig Slime + 1 Small Leaf Slime + 1 random Medium Slime,
cubex-construct,1,Overgrowth,hard,Cubex Construct,cubex-construct,,🔷,,
flyconid,1,Overgrowth,hard,Flyconid,leaf-slime-medium;flyconid,2 enemies,🍄,,
fogmog,1,Overgrowth,hard,Fogmog,fogmog;eye-with-teeth,2 enemies,🌫️,,fogmog.webp
inklets,1,Overgrowth,hard,Inklets,inklet;inklet;inklet,3 enemies,🖤,,
mawler,1,Overgrowth,hard,Mawler,mawler,,👹,,
nibbits,1,Overgrowth,hard,Nibbits,nibbit;nibbit,2 enemies,🐀,,
overgrowth-crawlers,1,Overgrowth,hard,Overgrowth Crawlers,shrinker-beetle;fuzzy-wurm-crawler,2 enemies,🐛,,
ruby-raiders,1,Overgrowth,hard,Ruby Raiders,ruby-raider-assassin;ruby-raider-axe;ruby-raider-brute;ruby-raider-crossbow;ruby-raider-tracker,3 enemies,💎,3 unique Raiders from pool,
slimes,1,Overgrowth,hard,Slimes,twig-slime-medium;leaf-slime-medium;leaf-slime-small;twig-slime-small,4 enemies,🟢,,
slithering-strangler,1,Overgrowth,hard,Slithering Strangler,snapping-jaxfruit;slithering-strangler;leaf-slime-medium;twig-slime-medium;leaf-slime-small;twig-slime-small,2-3 enemies,🐍,1 Slithering Strangler + one of: Snapping Jaxfruit / random Medium Slime / 2 random Small Slimes,
snapping-jaxfruit,1,Overgrowth,hard,Snapping Jaxfruit,snapping-jaxfruit;flyconid,2 enemies,🌺,,
vine-shambler,1,Overgrowth,hard,Vine Shambler,vine-shambler,,🌿,,
bygone-effigy,1,Overgrowth,elite,Bygone Effigy,bygone-effigy,,🗿,,
byrdonis,1,Overgrowth,elite,Byrdonis,byrdonis,,🦅,,
phrog-parasite,1,Overgrowth,elite,Phrog Parasite,phrog-parasite;wriggler,,🐸,,phrog-parasite.webp
ceremonial-beast,1,Overgrowth,boss,Ceremonial Beast,ceremonial-beast,,🦬,,
the-kin,1,Overgrowth,boss,The Kin,kin-priest;kin-follower;kin-follower,3 enemies,👥,,kin-priest.webp
vantom,1,Overgrowth,boss,Vantom,vantom,,👻,,
corpse-slugs-easy,1,Underdocks,easy,Corpse Slugs (easy),corpse-slug;corpse-slug,2 enemies,🐌,,
seapunk-easy,1,Underdocks,easy,Seapunk,seapunk,,🦑,,
sludge-spinner,1,Underdocks,easy,Sludge Spinner,sludge-spinner,,🕷️,,
toadpoles-easy,1,Underdocks,easy,Toadpoles (easy),toadpole;toadpole,2 enemies,🐸,,
corpse-slugs,1,Underdocks,hard,Corpse Slugs,corpse-slug;corpse-slug;corpse-slug,3 enemies,🐌,,
cultists,1,Underdocks,hard,Cultists,calcified-cultist;damp-cultist,2 enemies,🔮,,
living-fog,1,Underdocks,hard,Living Fog,living-fog;gas-bomb,2 enemies,🌫️,,living-fog.webp
fossil-stalker,1,Underdocks,hard,Fossil Stalker,fossil-stalker,,🦴,,
gremlin-merc,1,Underdocks,hard,Gremlin Merc,gremlin-merc;sneaky-gremlin;fat-gremlin,,👺,,gremlin-merc.webp
haunted-ship,1,Underdocks,hard,Haunted Ship,haunted-ship,,🚢,,
punch-construct,1,Underdocks,hard,Punch Construct,punch-construct,,🤖,,
sewer-clam,1,Underdocks,hard,Sewer Clam,sewer-clam,,🐚,,
seapunk-hard,1,Underdocks,hard,Seapunk,calcified-cultist;seapunk,2 enemies,🦑,,
two-tailed-rats,1,Underdocks,hard,Two-Tailed Rats,two-tailed-rat;two-tailed-rat;two-tailed-rat,3 enemies,🐀,,
skulking-colony,1,Underdocks,elite,Skulking Colony,skulking-colony,,🕳️,,
phantasmal-gardeners,1,Underdocks,elite,Phantasmal Gardeners,phantasmal-gardener;phantasmal-gardener;phantasmal-gardener;phantasmal-gardener,4 enemies,👻,,
terror-eel,1,Underdocks,elite,Terror Eel,terror-eel,,🐍,,
lagavulin-matriarch,1,Underdocks,boss,Lagavulin Matriarch,lagavulin-matriarch,,🛡️,,
soul-fysh,1,Underdocks,boss,Soul Fysh,soul-fysh,,🐟,,
waterfall-giant,1,Underdocks,boss,Waterfall Giant,waterfall-giant,,🗿,,
bowlbugs-easy,2,Hive,easy,Bowlbugs (easy),bowlbug-rock;bowlbug-nectar;bowlbug-egg,2 enemies,🐜,1 Rock + 1 random from Egg or Nectar,
exoskeletons-easy,2,Hive,easy,Exoskeletons (easy),exoskeleton;exoskeleton;exoskeleton,3 enemies,💀,,
thieving-hopper,2,Hive,easy,Thieving Hopper,thieving-hopper,,🦗,,
tunneler,2,Hive,easy,Tunneler,tunneler,,🪱,,
bowlbugs,2,Hive,hard,Bowlbugs,bowlbug-nectar;bowlbug-rock;bowlbug-silk;bowlbug-egg,3 enemies,🐜,1 Rock + 2 unique from Egg / Silk / Nectar,
chompers,2,Hive,hard,Chompers,chomper;chomper,2 enemies,🦷,,
exoskeletons,2,Hive,hard,Exoskeletons,exoskeleton;exoskeleton;exoskeleton;exoskeleton,4 enemies,💀,,
hunter-killer,2,Hive,hard,Hunter Killer,hunter-killer,,🔺,,
louse-progenitor,2,Hive,hard,Louse Progenitor,louse-progenitor,,🐛,,
mytes,2,Hive,hard,Mytes,myte;myte,2 enemies,🕷️,,
ovicopter,2,Hive,hard,Ovicopter,ovicopter;tough-egg;hatchling,4 enemies,🪰,,ovicopter.webp
slumbering-beetle,2,Hive,hard,Slumbering Beetle,slumbering-beetle;bowlbug-rock;bowlbug-silk,3 enemies,🪲,,
spiny-toad,2,Hive,hard,Spiny Toad,spiny-toad,,🐸,,
the-obscura,2,Hive,hard,The Obscura,the-obscura;parafright,2 enemies,👁️,,the-obscura.webp
decimillipede,2,Hive,elite,Decimillipede,decimillipede,3 enemies,🐛,,
entomancer,2,Hive,elite,Entomancer,entomancer,,🧙,,
infested-prism,2,Hive,elite,Infested Prism,infested-prism,,💎,,
kaiser-crab,2,Hive,boss,Kaiser Crab,crusher;rocket,2 enemies,🦀,,kaiser-crab.webp
knowledge-demon,2,Hive,boss,Knowledge Demon,knowledge-demon,,😈,,
the-insatiable,2,Hive,boss,The Insatiable,the-insatiable,,🕳️,,
devoted-sculptor,3,Glory,easy,Devoted Sculptor,devoted-sculptor,,⚒️,,
scrolls-of-biting-easy,3,Glory,easy,Scrolls of Biting (easy),scroll-of-biting;scroll-of-biting;scroll-of-biting,3 enemies,📜,,
turret-operator,3,Glory,easy,Turret Operator,living-shield;turret-operator,2 enemies,🛡️,,
axebots,3,Glory,hard,Axebots,axebot,,🪓,,
construct-menagerie,3,Glory,hard,Construct Menagerie,punch-construct;cubex-construct;cubex-construct,3 enemies,🤖,,
fabricator,3,Glory,hard,Fabricator,fabricator;guardbot;zapbot;noisebot;stabbot,,⚙️,,fabricator.webp
frog-knight,3,Glory,hard,Frog Knight,frog-knight,,🐸,,
globe-head,3,Glory,hard,Globe Head,globe-head,,🌐,,
owl-magistrate,3,Glory,hard,Owl Magistrate,owl-magistrate,,🦉,,
scrolls-of-biting,3,Glory,hard,Scrolls of Biting,scroll-of-biting;scroll-of-biting;scroll-of-biting;scroll-of-biting,4 enemies,📜,,
slimed-berserker,3,Glory,hard,Slimed Berserker,slimed-berserker,,🟢,,
the-lost-and-forgotten,3,Glory,hard,The Lost and Forgotten,the-lost;the-forgotten,2 enemies,💀,,
knights,3,Glory,elite,Knights,flail-knight;spectral-knight;magi-knight,3 enemies,⚔️,,
mecha-knight,3,Glory,elite,Mecha Knight,mecha-knight,,🤖,,
soul-nexus,3,Glory,elite,Soul Nexus,soul-nexus,,💜,,
aeonglass,3,Glory,boss,Aeonglass,aeonglass,,⏳,,
queen,3,Glory,boss,Queen,queen;torch-head-amalgam,2 enemies,👑,,queen.webp
test-subject,3,Glory,boss,Test Subject,test-subject-stage-1;test-subject-stage-2;test-subject-stage-3,,🧪,,test-subject.webp
