Name,HP,Pattern,Notes
Axebot,40 - 44 (42 - 46),"Chooses randomly from One-Two, Sharpen, and Hammer Uppercut (allowed options equally likely). Cannot Sharpen twice in a row. Cannot use One-Two or Hammer Uppercut more than twice in a row. Summoned Axebots (from Stock) immediately start with Boot Up, then resume choosing random moves.","Starts with Stock 2. Stock X: When killed, a new Axebot is summoned in its place (with Stock X - 1)."
Bowlbug (Egg),21 - 22 (23 - 24),Always uses Bite.,
Bowlbug (Nectar),35 - 38 (36 - 39),Starts with Thrash -> Buff. Then uses Thrash every turn.,
Bowlbug (Rock),45 - 48 (46 - 49),"Uses Headbutt every turn. If fully blocked, becomes stunned for a turn before resuming Headbutt.",Starts with Imbalanced Imbalanced: Becomes stunned if its attack is fully blocked.
Bowlbug (Silk),40 - 43 (41 - 44),Alternates between Toxic Spit and Thrash.,
Calcified Cultist,38 - 41 (39 - 42),Starts with Incantation. Then uses Dark Strike every turn after.,
Chomper,60 - 64 (63 - 67),"First Chomper starts with Clamp, second with Screech. Then continue cycling through Clamp -> Screech.",Starts with Artifact 2
Corpse Slug,25 - 27 (27 - 29),First Corpse Slug picks its first move randomly. Each subsequent Corpse Slug starts with the next move in the cycle. Cycle through Whip Slap  -> Glomp -> Gloop,"Starts with Ravenous 4 (5) Ravenous X: When an enemy dies, become stunned and gain X Strength."
Cubex Construct,65 (70),Cycles through Charge Up -> Repeater Blast - > Repeater Blast -> Expel Blast -> Submerge.,Starts with 13 Block and Artifact 1.
Damp Cultist,51 - 53 (52 - 54),Starts with Incantation. Then uses Dark Strike every turn after.,
Devoted Sculptor,162 (172),"Starts with Forbidden Incantation, then uses Savage every turn.",
Exoskeleton,24 - 28 (25 - 29),"First Exoskeleton starts with Skitter, second starts with Mandible, third starts with Enrage (and fourth starts randomly with Skitter or Mandible, if present). After Skitter always uses Mandible. After Mandible always uses Enrage. After Enrage chooses randomly between Skitter and Mandible.",Starts with Hard to Kill 9 Hard to Kill X: Reduce all damage taken and HP loss to X.
Fabricator,150 (155),"When # allies (not counting self) is 2 or fewer, picks randomly between Fabricate and Fabricating Strike (equally likely). When # allies (not counting self) is 3 or more, always uses Disintegrate.",
Guardbot,21 - 25 (22 - 26),Always uses Guard,
Noisebot,23 - 28 (24 - 29),Always uses Noise,
Stabbot,23 - 28 (24 - 29),Always uses Stab,
Zapbot,23 - 28 (24 - 29),Always uses Zap,"Starts with High Voltage 2. High Voltage X: At the end of Zapbot's turn, it gains X strength."
Flyconid,47 - 49 (51 - 53),"Starts randomly with Frail Spores or Smash (equal probability). Then picks move randomly (equal probability for allowed moves). Cannot use any move twice in a row. Vulnerable Spores has a 3 turn cooldown after use, and Frail Spores has a 2 turn cooldown after use. Exception: If at any point it uses Vuln Spores -> Frail Spores -> Smash, then it will have no allowed moves and default to Vulnerable Spores.",
Fogmog,74 (78),"Starts with Illusion -> Swipe. When using Swipe after a non-Swipe move, follows up with 40% chance to Swipe and 60% chance to Headbutt. After using Swipe for second time in a row, always follows with Headbutt. After Headbutt, always uses Swipe.",
Eye with Teeth,6,Always uses Distract.,"Starts with Illusion Illusion: When this dies, revives next turn at full HP"
Fossil Stalker,51 - 53 (54 - 56),"Starts with Latch. Then chooses randomly between allowed options of Tackle, Latch, and Lash (allowed options equally likely). Moves cannot be used more than twice in a row.","Starts with Suck 3 Suck X: Whenever Fossil Stalker deals unblocked attack damage, it gains X strength."
Frog Knight,191 (199),"Cycles through Tongue Lash -> Strike Down Evil -> For the Queen. After For the Queen, if below half HP and Beetle Charge has not been used, then uses Beetle Charge before starting the cycle over.",Starts with Plating 15 (19)
Fuzzy Wurm Crawler,55 - 57 (58 - 59),Starts with Acid Goop. Then cycles through Inhale -> Acid Goop -> Acid Goop.,
Globe Head,148 (158),Cycles through Shocking Slap -> Thunder Strike -> Galvanic Burst.,Starts with Galvanic 6. Galvanic X: You take X damage when a Power is played.
Gremlin Merc,47 - 49 (51 - 53),Cycles through Gimme -> Double Smash -> Hehe.,"Starts with Surprise and Thievery 20 Surprise: When killed, summons 1 Sneaky Gremlin and 1 Fat Gremlin (they start stunned) Thievery X: Steals X gold when attacking (stolen gold is held by Fat Gremlin once summoned)"
Fat Gremlin,13 - 17 (14 - 18),Always uses Flee.,Starts stunned when summoned after killing Gremlin Merc. Keeps stolen gold if successfully Flees.
Sneaky Gremlin,10 - 14 (11 - 15),Always uses Tackle.,Starts stunned when summoned after killing Gremlin Merc.
Haunted Ship,63 (67),"Starts with Ramming Speed -> Haunt. Then picks randomly between Ramming Speed, Swipe, and Stomp (allowed options equally likely). Cannot use same move twice in a row.",
