Enemy,Move,Effects,References,Intent,Notes
axebot,Boot Up,{block} 10 (15); Gain 3 (4) {strength} per respawn,,"block, buff",
axebot,One-Two,Damage 9x2 (10x2),,multi_attack,
axebot,Hammer Uppercut,Damage 12 (14); Apply 2 {weak}; Apply 2 {frail},,"attack, debuff",
bowlbug-egg,Bite,Damage 7 (8); {block} 7 (8),,"attack, block",
bowlbug-nectar,Thrash,Damage 3,,attack,
bowlbug-nectar,Buff,Gain 15 (16) {strength},,buff,
bowlbug-rock,Headbutt,Damage 15 (16),,attack,
bowlbug-rock,Stunned,Passes turn,,sleeping,
bowlbug-silk,Toxic Spit,Apply 1 {weak},,debuff,
bowlbug-silk,Thrash,Damage 4x2 (5x2),,multi_attack,
calcified-cultist,Incantation,Gain {ritual} 2,,buff,
calcified-cultist,Dark Strike,Damage 9 (11),,attack,
chomper,Clamp,Damage 8x2 (9x2),,multi_attack,
chomper,Screech,Add 3 Dazed to Discard,dazed,add_statuses,
corpse-slug,Whip Slap,Damage 3x2,,multi_attack,
corpse-slug,Glomp,Damage 8 (9),,attack,
corpse-slug,Gloop,Apply 2 {frail},,debuff,
cubex-construct,Charge Up,Gain 2 {strength},,buff,
cubex-construct,Repeater Blast,Damage 7 (8); Gain 2 {strength},,"attack, buff",
cubex-construct,Expel Blast,Damage 5x2 (6x2),,multi_attack,
cubex-construct,Submerge,{block} 15,,block,
damp-cultist,Incantation,Gain {ritual} 5 (6),,buff,
damp-cultist,Dark Strike,Damage 1 (3),,attack,
devoted-sculptor,Forbidden Incantation,Gain 9 {ritual},,buff,
devoted-sculptor,Savage,Damage 12 (15),,attack,
exoskeleton,Skitter,Damage 1x3 (1x4),,multi_attack,
exoskeleton,Mandible,Damage 8 (9),,attack,
exoskeleton,Enrage,Gain 2 {strength},,buff,
fabricator,Fabricate,Summons 1 Defensive Bot; Summons 1 Aggro Bot,,summon,
fabricator,Fabricating Strike,Damage 18 (21); Summon 1 Aggro Bot,,"attack, summon",
fabricator,Disintegrate,Damage 11 (13),,attack,
guardbot,Guard,{block} 15 on Fabricator,,block,
noisebot,Noise,Add 1 Dazed to Discard; Add 1 Dazed to Draw,dazed,add_statuses,
stabbot,Stab,Damage 11 (12); Apply 1 {frail},,"attack, debuff",
zapbot,Zap,Damage 14 (15),,attack,
flyconid,Frail Spores,Damage 8 (9); Apply 2 {frail},,"attack, debuff",Cannot repeat. 2-turn cooldown.
flyconid,Smash,Damage 11 (12),,attack,Cannot repeat.
flyconid,Vulnerable Spores,Apply 2 {vulnerable},,debuff,Cannot repeat. 3-turn cooldown. If no moves are allowed defaults to this.
fogmog,Illusion,Summon 1 Eye with Teeth,,summon,
fogmog,Swipe,Damage 8 (9); Gain 1 {strength},,"attack, buff",
fogmog,Headbutt,Damage 14 (16),,attack,
eye-with-teeth,Distract,3 Dazed to Discard,dazed,add_statuses,
fossil-stalker,Latch,Damage 12 (14),,attack,Max 2 in a row.
fossil-stalker,Tackle,Damage 9 (11); Apply 1 {frail},,"attack, debuff",Max 2 in a row.
fossil-stalker,Lash,Damage 3x2 (4x2),,multi_attack,Max 2 in a row.
frog-knight,Tongue Lash,Damage 13 (14); Apply 2 {frail},,"attack, debuff",
