Enemy,Move,Effects,Intent
Axebot,Boot Up,Block 10; Gain 1 Strength,"block, buff"
Axebot,One-Two,Damage 5x2 (6x2),multi_attack
Axebot,Sharpen,Gain 4 Strength,buff
Axebot,Hammer Uppercut,Damage 8 (10); Apply 1 Weak; Apply 1 Frail,"attack, debuff"
Bowlbug (Egg),Bite,Damage 7 (8); Block 7 (8),"attack, block"
Bowlbug (Nectar),Thrash,Damage 3,attack
Bowlbug (Nectar),Buff,Gain 15 (16) Strength,buff
Bowlbug (Rock),Headbutt,Damage 15 (16),attack
Bowlbug (Rock),Stunned,Passes turn,sleeping
Bowlbug (Silk),Toxic Spit,Apply 1 Weak,debuff
Bowlbug (Silk),Thrash,Damage 4x2 (5x2),multi_attack
Calcified Cultist,Incantation,Gain Ritual 2,buff
Calcified Cultist,Dark Strike,Damage 9 (11),attack
Chomper,Clamp,Damage 8x2 (9x2),multi_attack
Chomper,Screech,Add 3 Dazed to Discard,add_statuses
Corpse Slug,Whip Slap,Damage 3x2,multi_attack
Corpse Slug,Glomp,Damage 8 (9),attack
Corpse Slug,Gloop,Apply 2 Frail,debuff
Cubex Construct,Charge Up,Gain 2 Strength,buff
Cubex Construct,Repeater Blast,Damage 7 (8); Gain 2 Strength,"attack, buff"
Cubex Construct,Expel Blast,Damage 5x2 (6x2),multi_attack
Cubex Construct,Submerge,Block 15,block
Damp Cultist,Incantation,Ritual 5 (6),buff
Damp Cultist,Dark Strike,Damage 1 (3),attack
Devoted Sculptor,Forbidden Incantation,Gain 9 Ritual.,buff
Devoted Sculptor,Savage,Damage 12 (15),attack
Exoskeleton,Skitter,Damage 1x3 (1x4),multi_attack
Exoskeleton,Mandible,Damage 8 (9),attack
Exoskeleton,Enrage,Gain 2 Strength,buff
Fabricator,Fabricate,Summons 1 Defensive Bot; Summons 1 Aggro Bot,summon
Fabricator,Fabricating Strike,Damage 18 (21); Summon 1 Aggro Bot,"attack, summon"
Fabricator,Disintegrate,Damage 11 (13),attack
Guardbot,Guard,Block 15 on Fabricator,block
Noisebot,Noise,Add 1 Dazed to Discard; Add 1 Dazed to Draw,add_statuses
Stabbot,Stab,Damage 11 (12); Apply 1 Frail,"attack, debuff"
Zapbot,Zap,Damage 14 (15),attack
Flyconid,Frail Spores,Damage 8 (9); Apply 2 Frail,"attack, debuff"
Flyconid,Smash,Damage 11 (12),attack
Flyconid,Vulnerable Spores,Apply 2 Vulnerable,debuff
Fogmog,Illusion,Summon 1 Eye with Teeth,summon
Fogmog,Swipe,Damage 8 (9); Gain 1 Strength,"attack, buff"
Fogmog,Headbutt,Damage 14 (16),attack
Eye with Teeth,Distract,3 Dazed to Discard,unknown
Fossil Stalker,Latch,Damage 12 (14),attack
Fossil Stalker,Tackle,Damage 9 (11); Apply 1 Frail,"attack, debuff"
Fossil Stalker,Lash,Damage 3x2 (4x2),multi_attack
Frog Knight,Tongue Lash,Damage 13 (14); Apply 2 Frail,"attack, debuff"
Frog Knight,Strike Down Evil,Damage 21 (23),attack
Frog Knight,For the Queen,Gain 5 Strength,buff
Frog Knight,Beetle Charge,Damage 35 (40),attack
Fuzzy Wurm Crawler,Acid Goop,Damage 4 (6),attack
Fuzzy Wurm Crawler,Inhale,Gain 7 Strength,buff
Globe Head,Shocking Slap,Damage 13 (14); Apply 2 Frail,"attack, debuff"
Globe Head,Thunder Strike,Damage 6x3 (7x3),multi_attack
Globe Head,Galvanic Burst,Damage 16 (17); Gain 2 Strength,"attack, buff"
Gremlin Merc,Gimme,Damage 7x2 (8x2),multi_attack
Gremlin Merc,Double Smash,Damage 6x2 (7x2); Apply 2 Weak,"multi_attack, debuff"
Gremlin Merc,Hehe,Damage 8 (9); Gain 2 Strength,"attack, buff"
Fat Gremlin,Flee,Escape from combat,escape
Sneaky Gremlin,Tackle,Damage 9 (10),attack
Haunted Ship,Ramming Speed,Damage 10 (11); Add 2 Wounds to Discard,"attack, add_statuses"
Haunted Ship,Haunt,Apply 2 Weak; Apply 2 Frail; Apply 2 Vulnerable,debuff
Haunted Ship,Swipe,Damage 13 (14),attack
Haunted Ship,Stomp,Damage 4x3 (5x3),multi_attack
Hunter Killer,Tenderizing Goop,Apply Tender,debuff
Hunter Killer,Bite,Damage 17 (19),attack
Hunter Killer,Puncture,Damage 7x3 (8x3),multi_attack
Inklet,Jab,Damage 3 (4),attack
Inklet,Whirlwind,Damage 2x3 (3x3),multi_attack
Inklet,Piercing Gaze,Damage 10 (11),attack
Leaf Slime (Small),Tackle,Damage 3 (4),attack
Leaf Slime (Small),Goop,Add 1 Slimed to Discard,add_statuses
Leaf Slime (Medium),Sticky Shot,Add 2 Slimed to Discard,add_statuses
Leaf Slime (Medium),Clump Shot,Damage 8 (9),attack
Living Fog,Advanced Gas,Damage 8 (9); Apply Smoggy,"attack, debuff"
